,run,qps,tave_int,path_data,dynamics_grid_filename,idbg_mxmn,biharmonicviscosity_reference,vert_mix_type,velocity_topwindmixing,k_tracer_gm_kappa_parameter,k_tracer_isoneutral_parameter,leadclose_1,leadclose_2n,ndyn_substeps,dt_mox,irad_aero,gkdrag,gkwake,gklift,pr0,entrpen,csecfrl,crs,crt,albsm,albi,albim,albs,threshold_min_t,c_n,total_salt,total_saltinseaice,total_saltinliquidwater,amoc26n,kin_energy_global,pot_energy_global,total_energy_global,ssh_global,sst_global,sss_global,potential_enstrophy_global,HeatFlux_Total_global,FrshFlux_Precipitation_global,FrshFlux_SnowFall_global,FrshFlux_Evaporation_global,FrshFlux_Runoff_global,FrshFlux_VolumeIce_global,FrshFlux_TotalOcean_global,FrshFlux_TotalIce_global,FrshFlux_VolumeTotal_global,totalsnowfall_global,ice_volume_nh,ice_volume_sh,ice_extent_nh,ice_extent_sh,global_heat_content,global_heat_content_solid,tas_gmean,rsdt_gmean,rsut_gmean,rlut_gmean,radtop_gmean,prec_gmean,evap_gmean,fwfoce_gmean,FrshFlux_AtmHD_global,FrshFlux_BelowIce_global
73,slo1263,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),1150 - 1180,/work/mh0287/m211032/Icon/Abl_Git_mh0287/icon.oes.20191216/experiments/slo1263/,icon_grid_0013_R02B04_G.nc,1,3.5e+12,2,2.315e-06,500,500,0.25,0.666,8,PT15M,0,0.02,nan,nan,0.8,0.0003,5e-06,0.968,0.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.692,0.0007412,-3.46e-05,0.0007066,0.01363,16.66,34.25,0,0.2736,3.511e-08,2.179e-09,-3.848e-08,3.364e-09,1.914e-10,-4.328e-09,7.683e-10,-7.726e-10,1.387e-06,5.868e+04,4986,1.734e+07,8.628e+06,1.82e+25,-2.031e+22,12.13,340.2,103.8,236.7,-0.2864,3.148e-05,-3.148e-05,-2.22e-06,-2.322e-12,-2.108e-12
61,slo1264,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),1150 - 1180,/work/mh0287/m211032/Icon/Abl_Git_mh0287/icon.oes.20191216/experiments/slo1264/,icon_grid_0013_R02B04_G.nc,1,3.5e+12,2,2.315e-06,0,0,0.25,0.666,8,PT15M,0,0.02,nan,nan,0.8,0.0003,5e-06,0.968,0.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.971,0.0008592,-1.608e-05,0.0008432,0.01292,16.76,34.31,0,0.3161,3.529e-08,2.172e-09,-3.86e-08,3.308e-09,1.836e-10,-4.232e-09,7.309e-10,-7.404e-10,1.331e-06,5.317e+04,4625,1.665e+07,8.427e+06,1.864e+25,-1.845e+22,12.33,340.2,103.5,236.9,-0.2463,3.157e-05,-3.157e-05,-2.179e-06,-9.898e-13,-7.812e-13
48,slo1265,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),1210 - 1240,/work/mh0287/m211032/Icon/Abl_Git_mh0287/icon.oes.20191216/experiments/slo1265/,icon_grid_0013_R02B04_G.nc,1,3.5e+12,2,2.315e-06,0,0,0.25,0.666,8,PT15M,0,0.02,nan,nan,0.8,0.0003,5e-06,0.968,0.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.556,0.0008496,-3.375e-06,0.0008463,-0.2663,16.61,34.34,0,0.3877,3.505e-08,2.212e-09,-3.837e-08,3.319e-09,1.944e-10,-4.283e-09,7.269e-10,-7.688e-10,1.383e-06,6.323e+04,4319,1.788e+07,8.463e+06,1.803e+25,-2.154e+22,12.01,340.2,103.8,236.5,-0.1131,3.142e-05,-3.142e-05,-2.188e-06,-6.213e-13,-4.078e-13
60,slo1266,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),1350 - 1380,/work/mh0287/m211032/Icon/Abl_Git_mh0287/icon.oes.20191216/experiments/slo1266/,icon_grid_0013_R02B04_G.nc,1,3.5e+12,2,2.315e-06,0,0,0.25,0.666,8,PT15M,0,0.02,nan,nan,0.8,0.0003,5e-06,0.968,0.8,0.65,0.6,0.5,0.8,nan,nan,nan,nan,nan,16.13,0.0009069,-4.783e-06,0.0009021,0.007339,17.28,34.35,0,0.1165,3.591e-08,1.921e-09,-3.927e-08,3.356e-09,1.015e-10,-3.964e-09,4.983e-10,-5.058e-10,9.084e-07,1.045e+04,3522,1.005e+07,6.925e+06,1.876e+25,-4.56e+21,13.41,340.2,102.3,238.3,-0.3432,3.226e-05,-3.226e-05,-2.212e-06,-1.294e-12,-1.153e-12
47,slo1268,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),1550 - 1580,/work/mh0287/m211032/Icon/Abl_Git_mh0287/icon.oes.20191216/experiments/slo1268/,icon_grid_0013_R02B04_G.nc,1,3.5e+12,2,2.315e-06,0,0,0.25,0.666,8,PT15M,0,0.02,nan,nan,0.8,0.0003,5e-06,0.968,0.8,0.65,0.6,0.5,0.8,nan,nan,nan,nan,nan,14.99,0.0008917,9.575e-06,0.0009013,0.003175,17.21,34.34,0,0.1898,3.581e-08,1.942e-09,-3.918e-08,3.369e-09,1.035e-10,-3.979e-09,5.046e-10,-5.066e-10,9.139e-07,1.099e+04,3481,1.034e+07,6.89e+06,1.857e+25,-4.717e+21,13.32,340.2,102.4,238.2,-0.3203,3.217e-05,-3.217e-05,-2.22e-06,9.699e-13,1.113e-12
66,slo1271,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1271/qp_index.html),1650 - 1680,/work/mh0287/m211032/Icon/Abl_Git_mh0287/icon.oes.20191216/experiments/slo1271/,icon_grid_0013_R02B04_G.nc,1,3.5e+12,2,2.315e-06,0,0,0.25,0.666,8,PT15M,0,0.02,nan,nan,0.8,0.0003,5e-06,0.978,0.82,0.72,0.6,0.57,0.8,nan,nan,nan,nan,nan,14.3,0.0009008,7.04e-06,0.0009078,-0.001272,17.42,34.3,0,0.1838,3.617e-08,1.964e-09,-3.949e-08,3.321e-09,1.183e-10,-3.984e-09,5.346e-10,-5.447e-10,9.773e-07,1.286e+04,3814,1.111e+07,7.239e+06,1.874e+25,-5.437e+21,13.51,340.2,101.5,239,-0.3265,3.236e-05,-3.236e-05,-2.183e-06,-1.887e-12,-1.738e-12
57,slo1272,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),1650 - 1680,/work/mh0287/m211032/Icon/Abl_Git_mh0287/icon.oes.20191216/experiments/slo1272/,icon_grid_0013_R02B04_G.nc,1,3.5e+12,2,2.315e-06,0,0,0.25,0.666,8,PT15M,0,0.02,nan,nan,0.8,0.0003,5e-06,0.978,0.82,0.72,0.6,0.5,0.87,nan,nan,nan,nan,nan,15.42,0.0009114,1.411e-05,0.0009255,-0.002237,17.35,34.3,0,0.1078,3.608e-08,2.019e-09,-3.942e-08,3.338e-09,1.176e-10,-4.022e-09,5.52e-10,-5.664e-10,1.006e-06,1.261e+04,4129,1.11e+07,7.623e+06,1.86e+25,-5.469e+21,13.43,340.2,101.6,239,-0.3268,3.232e-05,-3.232e-05,-2.203e-06,-7.872e-12,-7.717e-12
45,slo1274,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1274/qp_index.html),1550 - 1580,/work/mh0287/m211032/Icon/Abl_Git_mh0287/icon.oes.20191216/experiments/slo1274/,icon_grid_0013_R02B04_G.nc,1,3.5e+12,2,2.315e-06,0,0,0.5,0.666,8,PT15M,0,0.02,nan,nan,0.8,0.0003,5e-06,0.978,0.82,0.72,0.6,0.57,0.8,nan,nan,nan,nan,nan,15.79,0.0009201,1.692e-05,0.000937,0.00149,17.47,34.32,0,0.1112,3.622e-08,1.954e-09,-3.96e-08,3.379e-09,1.053e-10,-3.993e-09,5e-10,-5.085e-10,9.157e-07,1.436e+04,3700,1.056e+07,6.589e+06,1.873e+25,-5.868e+21,13.59,340.2,101.3,239.2,-0.2382,3.248e-05,-3.248e-05,-2.223e-06,5.988e-14,2.063e-13
63,slo1275,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),1550 - 1580,/work/mh0287/m211032/Icon/Abl_Git_mh0287/icon.oes.20191216/experiments/slo1275/,icon_grid_0013_R02B04_G.nc,1,3.5e+12,2,2.315e-06,0,0,0.5,0.3,8,PT15M,0,0.02,nan,nan,0.8,0.0003,5e-06,0.978,0.82,0.72,0.6,0.57,0.8,nan,nan,nan,nan,nan,14.81,0.0009114,1.568e-05,0.0009271,0.002427,17.49,34.33,0,0.1496,3.624e-08,1.932e-09,-3.957e-08,3.34e-09,9.992e-11,-3.915e-09,4.755e-10,-4.754e-10,8.704e-07,1.183e+04,3542,1.023e+07,6.323e+06,1.873e+25,-5.012e+21,13.62,340.2,101.2,239.2,-0.1791,3.244e-05,-3.244e-05,-2.19e-06,8.069e-12,8.209e-12
70,slo1276,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1276/qp_index.html),1550 - 1580,/work/mh0287/m211032/Icon/Abl_Git_mh0287/icon.oes.20191216/experiments/slo1276/,icon_grid_0013_R02B04_G.nc,1,3.5e+12,2,2.315e-06,0,0,0.5,0.3,8,PT15M,0,0.02,nan,nan,0.8,0.0003,5e-06,0.978,0.82,0.72,0.6,0.57,0.8,nan,nan,nan,nan,nan,11.32,0.0009331,3.446e-06,0.0009365,0.0044,17.76,34.34,0,0.4622,3.466e-08,2.038e-09,-3.806e-08,3.395e-09,9.339e-11,-3.997e-09,4.989e-10,-5.081e-10,9.131e-07,1.36e+04,3849,1.048e+07,6.291e+06,1.909e+25,-5.695e+21,13.62,340.2,100.3,239.8,0.1878,3.127e-05,-3.127e-05,-2.249e-06,-9.958e-13,-8.468e-13
